cross_quadrant_risk,current_arousal,current_emotion,current_valence,decision,evidence_score,gemini35_objection,human_accept_support,proposed_arousal,proposed_emotion,proposed_valence,public_style_agreement,same_quadrant,sample_id,supporting_families,supporting_family_count,supporting_source_count,supporting_sources,transition
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0705,model,1,3,dinov2;ensemble;siglip2,bored->calm
True,Low,content,Positive,hold,0,False,False,High,excited,Positive,False,False,track2_0770,model,1,3,dinov2;ensemble;siglip2,content->excited
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0919,model,1,3,dinov2;ensemble;siglip2,bored->calm
True,High,happy,Positive,hold,0,False,False,Low,calm,Positive,False,False,track2_0974,model,1,3,dinov2;ensemble;siglip2,happy->calm
False,Low,content,Positive,hold,-1,True,False,Low,glad,Positive,False,True,track2_0308,teacher,1,2,teacher_rescue;teacher_top120,content->glad
True,Low,calm,Positive,hold,-1,False,False,Low,tired,Negative,False,False,track2_0097,selective,1,2,balanced;selective_v2,calm->tired
True,Low,calm,Positive,hold,-1,False,False,Low,tired,Negative,False,False,track2_0326,selective,1,2,balanced;selective_v2,calm->tired
True,Low,calm,Positive,hold,-1,False,False,Low,sad,Negative,False,False,track2_0655,selective,1,2,balanced;selective_v2,calm->sad
True,Low,content,Positive,hold,-1,False,False,High,excited,Positive,False,False,track2_0779,model,1,2,dinov2;ensemble,content->excited
True,Low,content,Positive,hold,-2,False,False,High,excited,Positive,False,False,track2_0382,model,1,1,ensemble,content->excited
True,Low,content,Positive,hold,-2,False,False,High,excited,Positive,False,False,track2_0998,model,1,1,ensemble,content->excited
True,High,annoyed,Negative,hold,-5,True,False,Low,calm,Positive,False,False,track2_0441,model,1,3,dinov2;ensemble;siglip2,annoyed->calm
True,Low,calm,Positive,hold,-5,True,False,Low,sad,Negative,False,False,track2_0591,model,1,3,dinov2;ensemble;siglip2,calm->sad
True,High,alarmed,Negative,hold,-5,True,False,Low,sad,Negative,False,False,track2_0666,model,1,3,dinov2;ensemble;siglip2,alarmed->sad
True,High,aroused,Positive,hold,-5,True,False,Low,calm,Positive,False,False,track2_0733,model,1,3,dinov2;ensemble;siglip2,aroused->calm
