arousal,count,emotion,share,style,style_count,valence
High,11,aroused,0.003359,Symbolism,3275,Positive
High,8,annoyed,0.002443,Symbolism,3275,Negative
Low,7,bored,0.002137,Symbolism,3275,Negative
Low,7,tired,0.002137,Symbolism,3275,Negative
High,2,happy,0.000611,Symbolism,3275,Positive
Low,1,glad,0.000305,Symbolism,3275,Positive
Low,259,calm,0.692513,Sōsaku hanga,374,Positive
High,53,excited,0.141711,Sōsaku hanga,374,Positive
Low,37,content,0.09893,Sōsaku hanga,374,Positive
High,6,alarmed,0.016043,Sōsaku hanga,374,Negative
Low,6,sad,0.016043,Sōsaku hanga,374,Negative
High,4,happy,0.010695,Sōsaku hanga,374,Positive
High,3,aroused,0.008021,Sōsaku hanga,374,Positive
High,3,frustrated,0.008021,Sōsaku hanga,374,Negative
Low,2,bored,0.005348,Sōsaku hanga,374,Negative
High,1,annoyed,0.002674,Sōsaku hanga,374,Negative
High,266,excited,0.604545,Tachisme,440,Positive
Low,83,calm,0.188636,Tachisme,440,Positive
High,38,frustrated,0.086364,Tachisme,440,Negative
High,19,alarmed,0.043182,Tachisme,440,Negative
High,13,annoyed,0.029545,Tachisme,440,Negative
Low,8,sad,0.018182,Tachisme,440,Negative
Low,5,tired,0.011364,Tachisme,440,Negative
High,4,aroused,0.009091,Tachisme,440,Positive
Low,3,bored,0.006818,Tachisme,440,Negative
High,1,happy,0.002273,Tachisme,440,Positive
Low,130,calm,0.30303,Transavantgarde,429,Positive
High,90,excited,0.20979,Transavantgarde,429,Positive
High,64,alarmed,0.149184,Transavantgarde,429,Negative
Low,49,sad,0.114219,Transavantgarde,429,Negative
Low,43,content,0.100233,Transavantgarde,429,Positive
High,38,frustrated,0.088578,Transavantgarde,429,Negative
High,6,annoyed,0.013986,Transavantgarde,429,Negative
High,4,happy,0.009324,Transavantgarde,429,Positive
High,2,aroused,0.004662,Transavantgarde,429,Positive
Low,2,tired,0.004662,Transavantgarde,429,Negative
Low,1,bored,0.002331,Transavantgarde,429,Negative
Low,1286,calm,0.743353,Ukiyo-e,1730,Positive
Low,193,content,0.111561,Ukiyo-e,1730,Positive
High,160,excited,0.092486,Ukiyo-e,1730,Positive
High,45,alarmed,0.026012,Ukiyo-e,1730,Negative
High,21,frustrated,0.012139,Ukiyo-e,1730,Negative
Low,9,sad,0.005202,Ukiyo-e,1730,Negative
High,6,annoyed,0.003468,Ukiyo-e,1730,Negative
High,5,aroused,0.00289,Ukiyo-e,1730,Positive
High,3,happy,0.001734,Ukiyo-e,1730,Positive
Low,1,bored,0.000578,Ukiyo-e,1730,Negative
Low,1,tired,0.000578,Ukiyo-e,1730,Negative
